type,text
ham,Didn't you get hep b immunisation in nigeria.
ham,"Fair enough, anything going on?"
ham,"Yeah hopefully, if tyler can't do it I could m..."
ham,U don't know how stubborn I am. I didn't even ...
ham,What you thinked about me. First time you saw ...
ham,"A gram usually runs like &lt;#&gt; , a half e..."
ham,K fyi x has a ride early tomorrow morning but ...
ham,Wow. I never realized that you were so embaras...
spam,SMS. ac Sptv: The New Jersey Devils and the De...
ham,Do you know what Mallika Sherawat did yesterda...
spam,Congrats! 1 year special cinema pass for 2 is ...
ham,"Sorry, I'll call later in meeting."
ham,Tell where you reached
ham,Yes..gauti and sehwag out of odi series.
ham,Your gonna have to pick up a $1 burger for you...
ham,Ha ha ha good joke. Girls are situation seekers.
ham,Its a part of checking IQ
ham,"Sorry my roommates took forever, it ok if I co..."
ham,Ok lar i double check wif da hair dresser alre...
spam,"As a valued customer, I am pleased to advise y..."
ham,"Today is ""song dedicated day.."" Which song wil..."
spam,Urgent UR awarded a complimentary trip to Euro...
spam,"Did you hear about the new ""Divorce Barbie""? I..."
ham,I plane to give on this month end.
ham,Wah lucky man... Then can save money... Hee...
ham,Finished class where are you.
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
ham,K..k:)where are you?how did you performed?
ham,U can call me now...
ham,I am waiting machan. Call me once you free.
ham,Thats cool. i am a gentleman and will treat yo...
ham,I like you peoples very much:) but am very shy...
ham,Does not operate after &lt;#&gt; or what
ham,Its not the same here. Still looking for a job...
ham,"Sorry, I'll call later"
ham,K. Did you call me just now ah?
ham,Ok i am on the way to home hi hi
ham,You will be in the place of that man
ham,Yup next stop.
ham,"I call you later, don't have network. If urgnt..."
ham,For real when u getting on yo? I only need 2 m...
ham,Yes I started to send requests to make it but ...
ham,I'm really not up to it still tonight babe
ham,"Ela kano.,il download, come wen ur free.."
ham,Yeah do! Don¡®t stand to close tho- you¡®ll ca...
ham,Sorry to be a pain. Is it ok if we meet anothe...
ham,Smile in Pleasure Smile in Pain Smile when tro...
spam,Please call our customer service representativ...
ham,Havent planning to buy later. I check already ...
spam,Your free ringtone is waiting to be collected....
ham,Watching telugu movie..wat abt u?
ham,i see. When we finish we have loads of loans t...
ham,Hi. Wk been ok - on hols now! Yes on for a bit...
ham,I see a cup of coffee animation
ham,Please don't text me anymore. I have nothing e...
ham,Okay name ur price as long as its legal! Wen c...
ham,I'm still looking for a car to buy. And have n...
ham,As per your request 'Melle Melle (Oru Minnamin...
ham,wow. You're right! I didn't mean to do that. I...
ham,Umma my life and vava umma love you lot dear
ham,Thanks a lot for your wishes on my birthday. T...
ham,"Aight, I'll hit you up when I get some cash"
ham,How would my ip address test that considering ...
ham,I know! Grumpy old people. My mom was like you...
ham,Dont worry. I guess he's busy.
ham,What is the plural of the noun research?
ham,Going for dinner.msg you after.
ham,I'm ok wif it cos i like 2 try new things. But...
spam,GENT! We are trying to contact you. Last weeke...
ham,"Wa, ur openin sentence very formal... Anyway, ..."
ham,"As I entered my cabin my PA said, '' Happy B'd..."
spam,You are a winner U have been specially selecte...
ham,Goodo! Yes we must speak friday - egg-potato r...
ham,Hmm...my uncle just informed me that he's payi...
spam,PRIVATE! Your 2004 Account Statement for 07742...
spam,URGENT! Your Mobile No. was awarded ?2000 Bonu...
ham,here is my new address -apples&pairs&all that ...
spam,Todays Voda numbers ending 7548 are selected t...
ham,I am going to sao mu today. Will be done only ...
ham,? predict wat time ¨¹'ll finish buying?
ham,"Good stuff, will do."
ham,"Just so that you know,yetunde hasn't sent mone..."
ham,Are you there in room.
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R B...
ham,K..k:)how much does it cost?
ham,I'm home.
ham,"Dear, will call Tmorrow.pls accomodate."
ham,First answer my question.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD playe...
spam,Want 2 get laid tonight? Want real Dogging loc...
ham,I only haf msn. It's yijue@hotmail.com
ham,He is there. You call and meet him
ham,No no. I will check all rooms befor activities
spam,You'll not rcv any more msgs from the chat svc...
ham,Got c... I lazy to type... I forgot ¨¹ in lect...
ham,"K, text me when you're on the way"
ham,"Sir, Waiting for your mail."
ham,"A swt thought: ""Nver get tired of doing little..."
ham,I know you are. Can you pls open the back?
ham,Yes see ya not on the dot
ham,Whats the staff name who is taking class for us?
spam,FreeMsg Why haven't you replied to my text? I'...
ham,Ummma.will call after check in.our life will b...
ham,K..i deleted my contact that why?
ham,Sindu got job in birla soft ..
ham,The wine is flowing and i'm i have nevering..
ham,Yup i thk cine is better cos no need 2 go down...
ham,Ok... Ur typical reply...
ham,As per your request 'Melle Melle (Oru Minnamin...
ham,"You are everywhere dirt, on the floor, the win..."
ham,Aaooooright are you at work?
ham,I'm leaving my house now...
ham,"Hello, my love. What are you doing? Did you ge..."
spam,Customer service annoncement. You have a New Y...
spam,You are a winner U have been specially selecte...
ham,Keep yourself safe for me because I need you a...
ham,New car and house for my parents.:)i have only...
ham,I'm so in love with you. I'm excited each day ...
spam,-PLS STOP bootydelious (32/F) is inviting you ...
spam,BangBabes Ur order is on the way. U SHOULD rec...
ham,I place all ur points on e cultures module alr...
spam,URGENT! We are trying to contact you. Last wee...
ham,"Hi frnd, which is best way to avoid missunders..."
ham,Great escape. I fancy the bridge but needs her...
ham,Yes :)it completely in out of form:)clark also...
ham,"Sir, I need AXIS BANK account no and bank addr..."
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can..."
ham,What time you coming down later?
ham,"Bloody hell, cant believe you forgot my surnam..."
ham,"Well, i'm gonna finish my bath now. Have a goo..."
ham,Let me know when you've got the money so carlo...
ham,U still going to the mall?
ham,Turns out my friends are staying for the whole...
ham,Text her. If she doesnt reply let me know so i...
ham,Hi! You just spoke to MANEESHA V. We'd like to...
ham,You lifted my hopes with the offer of money. I...
ham,Lol no. U can trust me.
ham,ok. I am a gentleman and will treat you with d...
ham,"He will, you guys close?"
ham,Going on nothing great.bye
ham,Hello handsome ! Are you finding that job ? No...
ham,"Haha awesome, be there in a minute"
spam,Please call our customer service representativ...
ham,Have you got Xmas radio times. If not i will g...
ham,I jus reached home. I go bathe first. But my s...
spam,Are you unique enough? Find out from 30th Augu...
ham,I'm sorry. I've joined the league of people th...
ham,Hi :)finally i completed the course:)
ham,It will stop on itself. I however suggest she ...
ham,How are you doing? Hope you've settled in for ...
ham,Gud mrng dear hav a nice day
ham,Did u got that persons story
ham,is your hamster dead? Hey so tmr i meet you at...
ham,Hi its Kate how is your evening? I hope i can ...
ham,"Found it, ENC &lt;#&gt; , where you at?"
ham,I sent you &lt;#&gt; bucks
ham,Hello darlin ive finished college now so txt m...
ham,Your account has been refilled successfully by...
ham,Goodmorning sleeping ga.
ham,U call me alter at 11 ok.
ham,? say until like dat i dun buy ericsson oso ca...
ham,"As I entered my cabin my PA said, '' Happy B'd..."
ham,"Aight yo, dats straight dogg"
ham,You please give us connection today itself bef...
ham,Both :) i shoot big loads so get ready!
ham,"What's up bruv, hope you had a great break. Do..."
ham,Home so we can always chat
ham,K:)k:)good:)study well.
ham,Yup... How ¨¹ noe leh...
ham,Sounds great! Are you home now?
ham,Finally the match heading towards draw as your...
ham,Tired. I haven't slept well the past few nights.
ham,Easy ah?sen got selected means its good..
ham,I have to take exam with march 3
ham,Yeah you should. I think you can use your gt a...
ham,Ok no prob. Take ur time.
ham,There is os called ubandu which will run witho...
ham,"Sorry, I'll call later"
ham,U say leh... Of course nothing happen lar. Not...
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA..."
ham,Would really appreciate if you call me. Just n...
spam,Will u meet ur dream partner soon? Is ur caree...
ham,Hey company elama po mudyadhu.
ham,Life is more strict than teacher... Bcoz Teach...
ham,Dear good morning now only i am up
ham,Get down in gandhipuram and walk to cross cut ...
ham,Dear we are going to our rubber place
ham,"Sorry battery died, yeah I'm here"
ham,Yes:)here tv is always available in work place..
spam,Text & meet someone sexy today. U can find a d...
ham,I have printed it oh. So &lt;#&gt; come upst...
ham,Or ill be a little closer like at the bus stop...
ham,Where are you?when wil you reach here?
ham,"New Theory: Argument wins d SITUATION, but los..."
spam,U 447801259231 have a secret admirer who is lo...
ham,Tomarrow final hearing on my laptop case so i ...
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
ham,"Okay. No no, just shining on. That was meant t..."
ham,Although i told u dat i'm into baig face watch...
ham,U don't remember that old commercial?
ham,Too late. I said i have the website. I didn't ...
ham,I asked you to call him now ok
ham,Kallis wont bat in 2nd innings.
ham,It didnt work again oh. Ok goodnight then. I.l...
spam,Congratulations ur awarded 500 of CD vouchers ...
ham,Ranjith cal drpd Deeraj and deepak 5min hold
ham,"Wen ur lovable bcums angry wid u, dnt take it ..."
ham,What you doing?how are you?
ham,"Ups which is 3days also, and the shipping comp..."
ham,"I'm back, lemme know when you're ready"
ham,Don't necessarily expect it to be done before ...
ham,Mmm so yummy babe ... Nice jolt to the suzy
ham,Where are you lover ? I need you ...
spam,We tried to contact you re your reply to our o...
ham,I¡®m parked next to a MINI!!!! When are you co...
ham,Yup
ham,Anyway i'm going shopping on my own now. Cos m...
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUN...
spam,Hey I am really horny want to chat or see me n...
ham,Why you Dint come with us.
ham,Same. Wana plan a trip sometme then
ham,"Not sure yet, still trying to get a hold of him"
spam,Ur ringtone service has changed! 25 Free credi...
ham,The evo. I just had to download flash. Jealous?
spam,Ringtone Club: Get the UK singles chart on you...
ham,"Come to mu, we're sorting out our narcotics si..."
ham,"Night has ended for another day, morning has c..."
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vo...
ham,"Usf I guess, might as well take 1 car"
ham,No objection. My bf not coming.
ham,Thanx...
ham,Tell rob to mack his gf in the theater
ham,"Awesome, I'll see you in a bit"
ham,Just sent it. So what type of food do you like?
ham,All done? All handed in? Celebrations in full ...
ham,You got called a tool?
ham,"""Wen u miss someone, the person is definitely ..."
ham,Ok. I asked for money how far
ham,Okie...
ham,Yeah I think my usual guy's still passed out f...
ham,"K, I might come by tonight then if my class le..."
ham,Ok..
ham,hi baby im cruisin with my girl friend what r ...
ham,"My life Means a lot to me, Not because I love ..."
ham,"Dear,shall mail tonite.busy in the street,shal..."
ham,Hey you told your name to gautham ah?
ham,Haf u found him? I feel so stupid da v cam was...
ham,Oops. 4 got that bit.
ham,Are you this much buzy
ham,I accidentally deleted the message. Resend ple...
spam,T-Mobile customer you may now claim your FREE ...
ham,Unless it's a situation where YOU GO GURL woul...
ham,Hurt me... Tease me... Make me cry... But in t...
ham,I cant pick the phone right now. Pls send a me...
ham,Need a coffee run tomo?Can't believe it's that...
ham,"Awesome, I remember the last time we got someb..."
ham,"Shit that is really shocking and scary, cant i..."
ham,Oh and by the way you do have more food in you...
ham,He is a womdarfull actor
spam,SMS. ac Blind Date 4U!: Rodds1 is 21/m from Ab...
ham,Yup... From what i remb... I think should be c...
ham,Jos ask if u wana meet up?
ham,Lol yes. Our friendship is hanging on a thread...
spam,TheMob> Check out our newest selection of cont...
ham,Where are the garage keys? They aren't on the ...
ham,Today is ACCEPT DAY..U Accept me as? Brother S...
spam,Think ur smart ? Win ?200 this week in our wee...
ham,He says he'll give me a call when his friend's...
ham,"Hi the way I was with u 2day, is the normal wa..."
ham,You made my day. Do have a great day too.
ham,K.k:)advance happy pongal.
ham,Hmmm... Guess we can go 4 kb n power yoga... H...
ham,"Not really dude, have no friends i'm afraid :("
spam,December only! Had your mobile 11mths+? You ar...
ham,"Coffee cake, i guess..."
ham,"Merry Christmas to you too babe, i love ya *ki..."
ham,Hey... Why dont we just go watch x men and hav...
ham,cud u tell ppl im gona b a bit l8 cos 2 buses ...
ham,That would be great. We'll be at the Guild. Co...
ham,No problem. How are you doing?
ham,No calls..messages..missed calls
ham,Hi da:)how is the todays class?
ham,"I'd say that's a good sign but, well, you know..."
ham,"Cool, text me when you're parked"
ham,I'm reading the text i just sent you. Its mean...
ham,K.k:)apo k.good movie.
ham,Maybe i could get book out tomo then return it...
spam,Call Germany for only 1 pence per minute! Call...
ham,Any chance you might have had with me evaporat...
spam,Valentines Day Special! Win over ?1000 in our ...
ham,"Ta-Daaaaa! I am home babe, are you still up ?"
ham,Cool. So how come you havent been wined and di...
ham,Just sleeping..and surfing
ham,"Sorry, I'll call later"
ham,U calling me right? Call my hand phone...
ham,Ok that's great thanx a lot.
ham,I take it the post has come then! You must hav...
ham,Where u been hiding stranger?
ham,Am not interested to do like that.
ham,My sister cleared two round in birla soft yest...
ham,Gudnite....tc...practice going on
ham,Dis is yijue. I jus saw ur mail. In case huimi...
ham,One small prestige problem now.
spam,Fancy a shag? I do.Interested? sextextuk.com t...
ham,Just checking in on you. Really do miss seeing...
ham,"Nah can't help you there, I've never had an ip..."
ham,If you're not in my car in an hour and a half ...
ham,TODAY is Sorry day.! If ever i was angry with ...
ham,Yo you guys ever figure out how much we need f...
ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
ham,Thank You for calling.Forgot to say Happy Onam...
spam,Congratulations ur awarded 500 of CD vouchers ...
spam,Ur cash-balance is currently 500 pounds - to m...
ham,"I'm an actor. When i work, i work in the eveni..."
ham,"Hello! Just got here, st andrews-boy its a lon..."
ham,Ha ha cool cool chikku chikku:-):-DB-)
ham,Oh ok no prob..
ham,Check audrey's status right now
ham,Busy here. Trying to finish for new year. I am...
ham,Good afternoon sunshine! How dawns that day ? ...
ham,Well i know Z will take care of me. So no worr...
spam,"Update_Now - Xmas Offer! Latest Motorola, Sony..."
spam,Here is your discount code RP176781. To stop f...
ham,Wat uniform? In where get?
ham,"Cool, text me when you're ready"
ham,Hello my boytoy ... Geeee I miss you already a...
ham,I will spoil you in bed as well :)
ham,I'm going for bath will msg you next &lt;#&gt...
ham,I cant keep talking to people if am not sure i...
spam,"Thanks for your Ringtone Order, Reference T91...."
ham,Can you say what happen
ham,You could have seen me..i did't recognise you ...
ham,Well there's not a lot of things happening in ...
ham,Keep my payasam there if rinu brings
ham,I taught that Ranjith sir called me. So only i...
ham,I guess that's why you re worried. You must kn...
ham,"Yeah sure, give me a couple minutes to track d..."
ham,Hey leave it. not a big deal:-) take care.
ham,Hey i will be late ah... Meet you at 945+
spam,Double mins and txts 4 6months FREE Bluetooth ...
ham,It took Mr owl 3 licks
ham,Customer place i will call you.
ham,Mm that time you dont like fun
spam,4mths half price Orange line rental & latest c...
ham,Yup having my lunch buffet now.. U eat already?
ham,Huh so late... Fr dinner?
ham,Hey so this sat are we going for the intro pil...
ham,Morning only i can ok.
ham,Yes i think so. I am in office but my lap is i...
ham,Pick you up bout 7.30ish? What time are and t...
ham,From here after The performance award is calcu...
ham,Was actually sleeping and still might when u c...
ham,You are always putting your business out there...
ham,"Good evening Sir, Al Salam Wahleykkum.sharing ..."
ham,Hmmm...k...but i want to change the field quic...
spam,FREE RINGTONE text FIRST to 87131 for a poly o...
ham,Dear how is chechi. Did you talk to her
ham,The hair cream has not been shipped.
ham,None of that's happening til you get here though
ham,"Yep, the great loxahatchee xmas tree burning o..."
ham,"Haha get used to driving to usf man, I know a ..."
ham,All was well until slightly disastrous class t...
ham,Hello! Good week? Fancy a drink or something l...
ham,Headin towards busetop
ham,Message:some text missing* Sender:Name Missing...
ham,Come by our room at some point so we can iron ...
ham,Cos i want it to be your thing
ham,Okies... I'll go yan jiu too... We can skip ar...
ham,Bring home some Wendy =D
spam,100 dating service cal;l 09064012103 box334sk38ch
ham,Whatsup there. Dont u want to sleep
ham,Alright i have a new goal now
spam,FREE entry into our ?250 weekly competition ju...
ham,"Alright, I'll head out in a few minutes, text ..."
spam,Send a logo 2 ur lover - 2 names joined by a h...
ham,Yes:)from last week itself i'm taking live call.
spam,Someone has contacted our dating service and e...
ham,Siva is in hostel aha:-.
spam,URGENT! Your Mobile number has been awarded wi...
ham,Send this to ur friends and receive something ...
ham,Ok. She'll be ok. I guess
ham,aathi..where are you dear..
ham,Any pain on urination any thing else?
ham,7 at esplanade.. Do ¨¹ mind giving me a lift c...
ham,I wnt to buy a BMW car urgently..its vry urgen...
ham,At home watching tv lor.
ham,Does she usually take fifteen fucking minutes ...
spam,Congrats! Nokia 3650 video camera phone is you...
ham,Booked ticket for pongal?
ham,You available now? I'm like right around hills...
ham,The message sent is askin for &lt;#&gt; dolla...
ham,"Ask g or iouri, I've told the story like ten t..."
ham,How long does applebees fucking take
ham,"Hi hope u get this txt~journey hasnt been gd,n..."
ham,But i have to. I like to have love and arrange.
ham,Yes..he is really great..bhaji told kallis bes...
ham,You were supposed to wake ME up &gt;:(
ham,Oic... I saw him too but i tot he din c me... ...
ham,"Sorry, I'll call later"
ham,"""HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAR..."
ham,"Sorry, my battery died, I can come by but I'm ..."
ham,"Well done, blimey, exercise, yeah, i kinda rem..."
ham,I wont get concentration dear you know you are...
ham,LOL ... Have you made plans for new years?
ham,10 min later k...
ham,hanks lotsly!
ham,Thanks for this hope you had a good day today
ham,K:)k:)what are detail you want to transfer?acc...
ham,Ok i will tell her to stay out. Yeah its been ...
spam,"Loan for any purpose ?500 - ?75,000. Homeowner..."
ham,Si si. I think ill go make those oreo truffles.
ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN..."
ham,I hope you that's the result of being consiste...
ham,1.20 that call cost. Which i guess isnt bad. M...
ham,Going thru a very different feeling.wavering d...
ham,Where did u go? My phone is gonna die you have...
ham,Great. Never been better. Each day gives even ...
spam,"UpgrdCentre Orange customer, you may now claim..."
ham,"Sorry, I'll call later ok bye"
ham,Ok i am on the way to railway
ham,great princess! I love giving and receiving or...
ham,They don't put that stuff on the roads to keep...
ham,When are you going to ride your bike?
ham,"Yup, no need. I'll jus wait 4 e rain 2 stop."
ham,There are many company. Tell me the language.
spam,okmail: Dear Dave this is your final notice to...
ham,"How long has it been since you screamed, princ..."
ham,Nothing. I meant that once the money enters yo...
spam,Want 2 get laid tonight? Want real Dogging loc...
ham,Nice line said by a broken heart- Plz don't cu...
ham,Ok I'm gonna head up to usf in like fifteen mi...
ham,Love you aathi..love u lot..
ham,Tension ah?what machi?any problem?
ham,"K, can I pick up another 8th when you're done?"
ham,When're you guys getting back? G said you were...
ham,"Almost there, see u in a sec"
ham,"Yo carlos, a few friends are already asking me..."
ham,Watching tv lor...
ham,Thank you baby! I cant wait to taste the real ...
ham,You should change your fb to jaykwon thuglyfe ...
ham,If we win its really no 1 side for long time.
spam,FREE MESSAGE Activate your 500 FREE Text Messa...
ham,Dear reached railway. What happen to you
ham,Depends on quality. If you want the type i sen...
ham,I think i've fixed it can you send a test mess...
ham,"Sorry man my account's dry or I would, if you ..."
spam,Congrats! 1 year special cinema pass for 2 is ...
ham,"Sorry,in meeting I'll call later"
ham,What class of &lt;#&gt; reunion?
ham,Are you free now?can i call now?
ham,Got meh... When?
ham,Nope... Think i will go for it on monday... So...
ham,Some of them told accenture is not confirm. Is...
ham,"Kate jackson rec center before 7ish, right?"
ham,Dear i have reache room
ham,"Fighting with the world is easy, u either win ..."
ham,When can ¨¹ come out?
ham,Check with nuerologist.
ham,Lolnice. I went from a fish to ..water.?
spam,+123 Congratulations - in this week's competit...
ham,No it's waiting in e car dat's bored wat. Cos ...
ham,"Maybe westshore or hyde park village, the plac..."
ham,You should know now. So how's anthony. Are you...
ham,What's the significance?
ham,Your opinion about me? 1. Over 2. Jada 3. Kusr...
ham,"8 at the latest, g's still there if you can sc..."
ham,Prabha..i'm soryda..realy..frm heart i'm sory
ham,Lol ok your forgiven :)
ham,No..jst change tat only..
spam,"You are guaranteed the latest Nokia Phone, a 4..."
ham,S:)no competition for him.
spam,Boltblue tones for 150p Reply POLY# or MONO# e...
spam,Your credits have been topped up for http://ww...
ham,That way transport is less problematic than on...
ham,Usually the person is unconscious that's in ch...
ham,But that's on ebay it might be less elsewhere.
ham,Shall i come to get pickle
ham,Were gonna go get some tacos
ham,"That's very rude, you on campus?"
spam,"URGENT!: Your Mobile No. was awarded a ?2,000 ..."
ham,Hi i won't b ard 4 christmas. But do enjoy n m...
spam,Today's Offer! Claim ur ?150 worth of discount...
ham,Yes! How is a pretty lady like you single?
spam,You will recieve your tone within the next 24h...
ham,Jay says that you're a double-faggot
spam,PRIVATE! Your 2003 Account Statement for 07815...
ham,What Today-sunday..sunday is holiday..so no wo...
ham,Gudnite....tc...practice going on
ham,I'll be late...
ham,I've not called you in a while. This is hoping...
ham,"Good afternoon, my love! How goes that day ? I..."
ham,"Probably gonna be here for a while, see you la..."
ham,Or maybe my fat fingers just press all these b...
ham,Ummmmmaah Many many happy returns of d day my ...
ham,"I am in tirupur da, once you started from offi..."
spam,from www.Applausestore.com MonthlySubscription...
ham,A famous quote : when you develop the ability ...
ham,But am going to college pa. What to do. are el...
ham,4 oclock at mine. Just to bash out a flat plan.
ham,This girl does not stay in bed. This girl does...
ham,Then any special there?
ham,I know but you need to get hotel now. I just g...
ham,"Sorry that took so long, omw now"
ham,Wait &lt;#&gt; min..
ham,Ok give me 5 minutes I think I see her. BTW yo...
ham,Imagine you finally get to sink into that bath...
ham,"Hurry up, I've been weed-deficient for like th..."
ham,"Sure, if I get an acknowledgement from you tha..."
ham,Ok. Every night take a warm bath drink a cup o...
ham,I¡®ll have a look at the frying pan in case it...
ham,O. Well uv causes mutations. Sunscreen is like...
ham,Having lunch:)you are not in online?why?
ham,I know that my friend already told that.
ham,Hi Princess! Thank you for the pics. You are v...
ham,Aiyo... U always c our ex one... I dunno abt m...
ham,Hi msg me:)i'm in office..
ham,Thanx 4 e brownie it's v nice...
ham,Geeeee ... I love you so much I can barely sta...
spam,GENT! We are trying to contact you. Last weeke...
ham,"Fuck babe ... I miss you already, you know ? C..."
ham,"Ill call u 2mrw at ninish, with my address tha..."
ham,Oooh bed ridden ey? What are YOU thinking of?
ham,"So anyways, you can just go to your gym or wha..."
ham,Love it! Daddy will make you scream with pleas...
ham,WOT U WANNA DO THEN MISSY?
ham,Yar lor wait 4 my mum 2 finish sch then have l...
ham,Do you know where my lab goggles went
ham,Can you open the door?
ham,Waiting for your call.
ham,Nope i waiting in sch 4 daddy...
spam,"You have won ?1,000 cash or a ?2,000 prize! To..."
ham,I'm tired of arguing with you about this week ...
ham,? wait 4 me in sch i finish ard 5..
spam,"our mobile number has won ?5000, to claim call..."
ham,Arngd marriage is while u r walkin unfortuntly...
ham,Huh so early.. Then ¨¹ having dinner outside i...
ham,Ok anyway no need to change with what you said
spam,We tried to contact you re your reply to our o...
ham,my ex-wife was not able to have kids. Do you w...
ham,So how's scotland. Hope you are not over showi...
ham,Tell them u have a headache and just want to u...
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ?..."
ham,"""Pete can you please ring meive hardly gotany ..."
ham,Ya srsly better than yi tho
ham,"I'm in a meeting, call me later at"
spam,For ur chance to win a ?250 wkly shopping spre...
spam,You have been specially selected to receive a ...
spam,PRIVATE! Your 2003 Account Statement for 07753...
ham,You still at grand prix?
ham,I met you as a stranger and choose you as my f...
ham,I am great! How are you?
ham,Gud mrng dear have a nice day
spam,You have an important customer service announc...
ham,Will do. Was exhausted on train this morning. ...
ham,I'm going out to buy mum's present ar.
ham,Mind blastin.. No more Tsunamis will occur fro...
ham,If u sending her home first it's ok lor. I'm n...
ham,Speaking of does he have any cash yet?
ham,Be happy there. I will come after noon
ham,Meet after lunch la...
ham,TaKe CaRE n gET WeLL sOOn
spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIAL...
ham,what I meant to say is cant wait to see u agai...
ham,Neva mind it's ok..
ham,"It's fine, imma get a drink or somethin. Want ..."
spam,22 days to kick off! For Euro2004 U will be ke...
ham,Its a valentine game. . . Send dis msg to all ...
ham,I have many dependents
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE...
ham,I called and said all to him:)then he have to ...
ham,"""Happy valentines day"" I know its early but i ..."
ham,He like not v shock leh. Cos telling shuhui is...
ham,For my family happiness..
ham,I come n pick ¨¹ up... Come out immediately af...
ham,Let there be snow. Let there be snow. This kin...
ham,Dear we got &lt;#&gt; dollars hi hi
ham,Good words.... But words may leave u in dismay...
ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN F...
ham,"sorry, no, have got few things to do. may be i..."
ham,"Nah it's straight, if you can just bring bud o..."
ham,"Haha good to hear, I'm officially paid and on ..."
ham,How many licks does it take to get to the cent...
ham,Yup i thk they r e teacher said that will make...
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 j...
spam,Todays Vodafone numbers ending with 4882 are s...
ham,Please dont say like that. Hi hi hi
ham,Thank u!
ham,Oh that was a forwarded message. I thought you...
ham,Got it. Seventeen pounds for seven hundred ml ...
spam,"Dear Voucher Holder, 2 claim this weeks offer,..."
ham,Me n him so funny...
ham,"Sweetheart, hope you are not having that kind ..."
ham,When ¨¹ login dat time... Dad fetching ¨¹ home...
ham,"What will we do in the shower, baby?"
ham,I had askd u a question some hours before. Its...
ham,Well imma definitely need to restock before th...
ham,"said kiss, kiss, i can't do the sound effects..."
ham,Probably gonna swing by in a wee bit
ham,Ya very nice. . .be ready on thursday
ham,Allo! We have braved the buses and taken on th...
ham,"Watching cartoon, listening music &amp; at eve..."
ham,Do you mind if I ask what happened? You dont h...
spam,PRIVATE! Your 2003 Account Statement for shows...
ham,No prob. I will send to your email.
spam,"You have won ?1,000 cash or a ?2,000 prize! To..."
ham,Thats cool! Sometimes slow and gentle. Sonetim...
ham,I'm gonna say no. Sorry. I would but as normal...
ham,"Wait, do you know if wesleys in town? I bet sh..."
ham,Fine i miss you very much.
ham,Did u got that persons story
ham,Tell them the drug dealer's getting impatient
ham,Sun cant come to earth but send luv as rays. c...
ham,You will be in the place of that man
